                                    Rgistro de pedidos Fecha
Fecha de pedidoDNI cliente    Cantidad solicitada
20230831       90237332            3
20230831       54716824            1
20230831       97403853            3
20230831       86402303            6
20230831       22777006            1
20230831       25171011            6
20230831       73185299            3
20230831       87800799            2
20230831       89148118            6
20230831       69975105            6
20230831       45828535            4
20230831       71463316            4
20230831       13245501            2
20230831       87813843            1
20230831       54716824            6
20230831       46462527            6
20230831       42798099            6
20230831       93845419            6
20230831       90365520            6
20230831       35584593            4
20230831       81114108            5
20230831       45783712            2
20230831       48467976            5
20230831       37110873            4
20230831       62324793            1
20230831       37110873            4
20230831       64394265            5
20230831       67418025            2
20230830       62324793            5
20230830       87800799            6
20230830       45877001            6
20230830       50365593            5
20230830       96659352            3
20230830       62566305            5
20230830       35565959            5
20230830       79140840            1
20230830       89429489            6
20230830       42928709            4
20230830       63437380            4
20230830       89863424            3
20230830       15210391            2
20230830       85949265            5
20230830       48184351            2
20230830       86402303            6
20230830       97403853            4
20230830       23928045            5
20230830       19829266            3
20230830       32565207            4
20230830       73185299            3
20230830       26290971            3
20230830       69975105            6
20230830       32821689            3
20230830       97403853            6
20230830       15210391            2
20230830       83505958            5
20230830       96258632            2
20230829       71463316            5
20230829       55552996            1
20230829       71463316            6
20230829       62324793            1
20230829       87800799            3
20230829       16151792            1
20230829       77484838            3
20230829       44229880            3
20230829       20864087            5
20230829       29847168            1
20230829       98140264            2
20230829       25171011            3
20230829       45877001            2
20230829       71378466            3
20230829       43053402            2
20230829       88956889            6
20230829       53166028            1
20230829       77642521            5
20230829       52097922            2
20230829       76388967            5
20230829       45828535            5
20230829       79464412            2
20230829       31193794            5
20230829       81114108            2
20230829       86241107            2
20230829       87800799            2
20230829       53166028            3
20230829       69639726            1
20230829       95161027            4
20230829       16552775            5
20230829       46462527            3
20230828       78922174            5
20230828       69975105            6
20230828       94080926            5
20230828       71463316            4
20230828       43053402            6
20230828       57263719            3
20230828       89298238            2
20230828       43877279            5
20230828       89863424            6
20230828       17972674            1
20230828       23928045            3
20230828       79372768            6
20230828       40112594            2
20230828       89148118            5
20230828       42157219            2
20230828       76388967            5
20230828       60574154            5
20230828       35584593            4
20230828       79464412            5
20230828       32904023            3
20230828       80048864            1
20230828       95161027            1
20230828       26976877            4
20230828       77484838            1
20230828       45828535            6
20230828       42928709            5
20230828       44679500            1
20230828       79475585            6
20230828       71378466            6
20230828       73786035            4
20230828       71463316            3
20230828       42157219            5
20230828       57690875            3
20230828       43043986            5
20230828       85871751            2
20230828       35565959            2
20230828       62324793            2
20230828       80048864            3
20230828       59407188            6
20230828       86241107            2
20230828       24995742            3
20230828       26233063            3
20230828       66409237            4
20230828       32565207            5
20230827       84165595            3
20230827       22777006            3
20230827       32565207            4
20230827       91897732            2
20230827       37110873            5
20230827       43877279            4
20230827       25171011            1
20230827       86828079            1
20230827       57263719            2
20230827       38913831            3
20230827       89863424            4
20230827       52097922            5
20230827       43053402            2
20230827       73185299            3
20230827       78757121            4
20230827       26233063            4
20230827       55552996            6
20230827       63437380            2
20230827       26976877            3
20230827       22777006            2
20230827       41036366            2
20230827       90237332            1
20230827       57690875            6
20230827       12663268            6
20230827       87813843            4
20230827       13245501            5
20230827       95751208            4
20230827       26976877            4
20230827       60574154            6
20230827       38637282            1
20230827       17913944            4
20230827       63437380            5
20230827       78078115            2
20230827       54716824            6
20230827       67418025            5
20230827       78922174            3
20230827       66409237            4
20230827       11602775            3
20230827       40112594            6
20230827       96659352            6
20230827       79140840            1
20230827       79140840            3
20230827       73914283            1
20230827       15561764            2
20230827       45877001            5
20230826       83236386            2
20230826       95161027            5
20230826       42157219            6
20230826       59407188            5
20230826       17972674            4
20230826       42157219            6
20230826       79475585            5
20230826       32904023            1
20230826       86402303            3
20230826       99842319            1
20230826       86828079            3
20230826       54761731            3
20230826       26976877            3
20230826       79901434            2
20230826       38637282            6
20230826       11602775            1
20230826       27912250            3
20230826       13245501            6
20230826       54761731            4
20230826       54761731            1
20230826       57263719            5
20230826       40348917            3
20230826       78757121            4
20230826       27912250            1
20230826       78922174            5
20230826       45828535            6
20230826       71378466            4
20230826       81114108            1
20230826       77191257            3
20230826       78757121            1
20230826       90365520            6
20230826       24995742            1
20230826       31611146            1
20230826       77484838            1
20230826       73535476            4
20230826       83505958            1
20230826       49087435            3
20230826       57690875            4
20230826       94080926            2
20230826       29337157            4
20230825       93160528            2
20230825       79901434            3
20230825       32821689            5
20230825       57263719            5
20230825       87800799            2
20230825       67418025            1
20230825       57263719            6
20230825       42798099            6
20230825       16151792            1
20230825       40348917            4
20230825       49087435            1
20230825       96258632            5
20230825       87800799            2
20230825       83236386            2
20230825       77642521            5
20230825       62324793            5
20230825       87800799            2
20230825       45783712            5
20230825       62566305            4
20230825       73786035            1
20230825       73535476            2
20230825       77484838            3
20230825       11602775            4
20230825       95751208            3
20230825       79140840            2
20230825       58187172            6
20230825       35565959            4
20230825       13245501            1
20230825       88995291            2
20230825       93845419            5
20230825       71378466            1
20230825       52097922            5
20230825       26976877            2
20230825       19829266            2
20230825       50375303            2
20230824       50375303            6
20230824       45828535            2
20230824       88956889            1
20230824       13245501            1
20230824       54761731            5
20230824       42928709            6
20230824       59162728            4
20230824       15210391            3
20230824       12663268            3
20230824       33713901            6
20230824       46462527            6
20230824       95015539            2
20230824       97403853            5
20230824       79901434            2
20230824       45877001            5
20230824       79464412            4
20230824       35565959            5
20230824       26290971            3
20230824       86402303            3
20230824       73914283            4
20230824       24995742            4
20230824       87800799            5
20230824       25171011            3
20230824       43877279            4
20230824       26976877            5
20230824       85949265            6
20230824       11602775            2
20230824       50365593            3
20230824       78078115            1
20230824       45783712            1
20230824       89148118            5
20230824       36380447            5
20230823       89148118            6
20230823       55552996            1
20230823       90237332            4
20230823       73185299            5
20230823       78922174            2
20230823       50365593            6
20230823       93160528            3
20230823       69324480            3
20230823       43488351            6
20230823       29337157            6
20230823       31193794            1
20230823       12663268            5
20230823       89429489            1
20230823       83236386            1
20230823       79464412            6
20230823       89298238            2
20230823       89298238            1
20230823       78078115            2
20230823       87813843            6
20230823       22280452            5
20230823       76388967            6
20230823       77642521            2
20230823       23928045            2
20230823       81114108            3
20230823       79372768            1
20230823       81114108            4
20230823       64394265            5
20230823       93160528            5
20230822       89298238            3
20230822       80048864            3
20230822       78078115            5
20230822       78078115            3
20230822       37110873            2
20230822       94080926            5
20230822       77484838            4
20230822       36008913            6
20230822       64394265            6
20230822       35584593            1
20230822       73535476            3
20230822       78757121            3
20230822       20864087            1
20230822       77191257            6
20230822       52097922            2
20230822       77484838            6
20230822       27912250            1
20230822       95161027            2
20230822       27912250            4
20230822       32821689            1
20230822       38913831            1
20230822       26290971            5
20230822       71984468            2
20230822       84165595            4
20230822       43488351            5
20230822       78078115            2
20230822       15210391            5
20230822       86241107            3
20230822       76388967            6
20230822       16151792            3
20230822       78757121            4
20230822       93845419            2
20230822       15561764            6
20230822       87800799            1
20230822       25171011            6
20230822       66409237            5
20230821       44229880            5
20230821       38913831            3
20230821       17913944            5
20230821       43043986            3
20230821       49087435            1
20230821       58187172            2
20230821       45783712            3
20230821       15210391            1
20230821       90365520            6
20230821       62566305            4
20230821       17972674            1
20230821       40112594            3
20230821       45877001            4
20230821       69639726            3
20230821       91897732            1
20230821       40348917            2
20230821       85949265            2
20230821       57690875            5
20230821       11602775            6
20230821       40348917            3
20230821       85949265            6
20230821       98140264            4
20230821       49087435            2
20230821       49087435            6
20230821       15561764            4
20230821       83505958            3
20230821       95161027            5
20230821       81114108            4
20230821       49087435            1
20230821       37110873            2
20230821       89429489            1
20230821       17913944            4
20230821       26233063            2
20230821       71463316            6
20230821       29337157            3
20230821       77191257            5
20230821       90237332            5
20230821       25171011            1
20230821       32904023            3
20230821       50365593            1
20230821       81114108            5
20230821       11602775            4
20230821       79140840            5
20230821       71984468            5
20230821       55552996            1
20230821       32565207            6
20230821       90365520            1


                                   Rgistro de pedidos Libros
Codigo Libro
JXD-139        
CRU-009        
YYK-309        
OTS-581        
AWB-345        
IHG-413        
KQQ-136        
OQI-373        
PVZ-181        
ICX-503        
DFF-034        
VCL-867        
TZY-323        
PJG-338        
SSD-176        
BWD-036        
FLJ-040        
JDC-028        
OTH-462        
QIL-029        
UWA-476        
XOA-735        
OBI-353        
CSZ-863        
MLE-193        
UOD-420        
KWP-672        
BXY-119        
KCO-488        
PQH-935        
GBJ-693        
XLF-273        
RSE-049        
CJE-310        
SJQ-827        
TKM-141        
EBI-299        
ZEX-027        
SJD-818        
GLC-370        
YUQ-590        
QHC-492        
CIM-038        
AHB-459        
MQR-442        
CNN-411        
AFL-718        
XZR-640        
LDR-510        
QUU-384        
OWN-701        
BTO-226        
BRD-969        
DFJ-952        
RDT-761        
TMN-884        
FEG-454        
JCW-489        
VDD-853        
ZVA-180        
KQA-580        
NMV-644        
TYF-885        
IDO-503        
BCK-361        
OPT-996        
VVS-017        
YOT-530        
ISU-815        
III-576        
LWG-915        
YYU-726        
JJN-837        
ZWF-661        
EJW-346        
UXG-019        
NSM-283        
VJI-529        
YZD-580        
UJV-290        
WZD-331        
BIT-434        
AWT-354        
JFC-432        
PFD-286        
JYQ-045        
XSD-310        
TXM-139        
RAH-420        
ONB-903        
FVQ-662        
UDR-957        
FYF-898        
SPR-580        
QFR-958        
DEV-433        
MMA-577        
ZXK-295        
VXS-438        
AQS-362        
VRR-793        
FCN-617        
QFP-254        
DIQ-718        
OXP-732        
SNY-500        
MTF-868        
VTV-269        
GXF-122        
BCN-855        
DUG-251        
QJO-060        
YMU-875        
ADX-669        
KSO-608        
HFM-021        
QVJ-982        
JDQ-505        
QRC-609        
QTK-083        
GBD-525        
CNQ-172        
AVM-258        
FQG-293        
MYC-756        
ARS-231        
TMJ-043        
KJX-387        
KBY-991        
HLR-109        
ZAF-449        
SSE-115        
OPJ-039        
EUZ-452        
DON-719        
HFC-845        
YJD-279        
LYZ-614        
YGV-332        
RBE-789        
OTW-288        
BMJ-772        
WLL-607        
XBD-314        
BZS-261        
UTN-601        
DEN-125        
OFS-384        
EVN-510        
GKG-558        
PPX-620        
UCX-285        
KDA-627        
FLW-631        
DOV-560        
FVB-607        
YEZ-591        
VZV-827        
SAM-013        
NSR-955        
XTE-383        
XZG-521        
