Codigo Libro        DNI            Fecha          Puntaje        
ALH8812        14500753            24/12/2023        46
EJE8138        79743481            24/02/2024        90
PQZ1316        49516360            10/10/2023        49
IPE3429        65071478            29/09/2023        70
KLV1872        11750801            19/11/2023        98
EZP0333        37328103            03/01/2024        29
SFZ1256        45181396            09/01/2024        24
QQQ4712        21344013            31/12/2023        53
RII8346        66747161            09/01/2024        92
ZLE2920        35030611            09/12/2023        83
JBR9372        37751890            11/11/2023        36
XIU2628        65830353            18/04/2024        29
EBT7258        46582367            22/02/2024        20
KWL0415        92240876            07/02/2024        55
BXE0974        83265244            24/09/2023        53
KPE7420        63602514            13/11/2023         8
NGQ6935        47659552            19/01/2024        25
DDU0764        60740809            06/09/2023         4
DVL7760        57431952            11/03/2024        34
FBO8724        58717040            10/11/2023        52
BSX2922        54393647            03/02/2024        97
VPN5351        87804471            02/01/2024        67
IFL0150        14268463            07/05/2024        99
SQB7146        88080249            13/09/2023        43
QRH6838        81082011            13/12/2023        14
BTX3816        37751890            10/04/2024        80
HPM0950        37751890            09/02/2024         8
ETZ8565        14268463            02/10/2023        33
RWW7975        33583840            12/04/2024        71
ULM8751        81462164            20/02/2024        99
CKC4095        34460612            25/11/2023         3
TAB4639        42302422            29/09/2023        18
KLO8691        45181396            24/11/2023        13
VSG3432        57431952            17/09/2023        83
JZQ8143        57431952            31/03/2024        81
NBL8415        49516360            03/11/2023        44
MBQ9495        37328103            01/05/2024         4
KWL0415        72832218            21/03/2024        33
PZP7176        83265244            13/02/2024        79
YZV6954        58717040            12/02/2024        56
HPM0950        37751890            11/01/2024        55
CRR5443        57431952            24/02/2024        40
QBL9575        42302422            28/01/2024        49
IUG2294        17750908            20/01/2024        55
KVL6246        81462164            19/09/2023        99
WOF6634        65071478            24/01/2024         6
HPP3360        47659552            30/11/2023        80
WCZ0845        38724322            26/03/2024        38
UDS2730        50860318            24/03/2024        57
BUY4915        76693511            01/11/2023        14
JLQ6546        14500753            26/12/2023        31
CST1133        37328103            10/01/2024        60
EBT7258        49516360            17/12/2023        63
USE5598        17750908            13/02/2024        39
LDL2628        14500753            06/12/2023        90
QCA9584        92240876            27/10/2023        68
SFZ1256        85870289            27/03/2024        24
JZQ8143        51235238            02/10/2023         4
HPP3360        81082011            13/09/2023        58
GQC1814        11750801            23/03/2024        32
VFZ9435        48053960            04/10/2023        19
BHD6079        14268463            23/09/2023        74
VYG3594        34460612            04/10/2023        22
CTW5846        42302422            15/09/2023        13
XCC4070        34460612            05/10/2023        48
MBQ9495        46582367            10/03/2024        87
IMK4892        37751890            20/03/2024        67
KGO1734        69200503            30/10/2023        42
SBU9053        36699613            30/04/2024         2
VSG3432        60740809            21/12/2023        79
MNL3677        72832218            25/09/2023        34
IUI3314        47659552            29/11/2023        58
UEJ1235        69200503            07/12/2023        52
SPM4763        54393647            06/10/2023        49
WPU8819        33583840            07/02/2024         9
OBD2849        27109544            22/09/2023        58
HGN9910        38724322            26/09/2023        42
CRY6839        11750801            28/01/2024         9
RWW7975        32231860            09/12/2023        60
UEJ1235        86898639            23/03/2024        95
VFI8064        47659552            08/12/2023        85
DEK2757        92240876            03/01/2024        72
QRH6838        65071478            05/02/2024        26
EEJ4830        66747161            22/09/2023        98
VFI8064        14268463            05/09/2023        87
BZY0235        45834351            28/12/2023        61
DDQ0721        17750908            20/12/2023        63
QKH2262        42302422            28/12/2023        88
EDQ0577        65830353            11/01/2024        91
RLQ7170        37751890            24/10/2023        97
UXZ2187        21344013            24/02/2024        86
JXK3142        96056368            23/03/2024        20
FMX8255        86898639            01/09/2023         7
RZX8790        33958767            11/02/2024        43
CST1133        67066631            01/04/2024       100
WMN3648        20449598            02/01/2024         8
IIM5175        69200503            21/11/2023        14
NBL8415        47659552            21/10/2023        23
USM9579        21344013            23/09/2023        20
RZX8790        92240876            09/05/2024        18
ZPD6557        87804471            17/02/2024        43
AKU9740        45002711            20/02/2024        35
XIU6076        33958767            06/11/2023        37
IMK4892        72832218            10/12/2023        26
RAO4129        15129661            03/11/2023        21
PQZ1316        14268463            21/02/2024        75
ZOY6470        87804471            24/11/2023        73
CXW5879        81082011            18/03/2024        10
PZP7176        88080249            18/03/2024        20
PQB0775        83265244            22/10/2023        13
GUN8655        34460612            22/04/2024        13
CLG5566        81462164            27/11/2023        65
ECT0289        27109544            10/10/2023        63
UXZ2187        69200503            05/11/2023        16
BDK4183        65830353            30/09/2023         4
WGA2754        37751890            20/02/2024         1
ICU6090        87804471            10/12/2023        50
JLQ6546        14500753            16/04/2024        50
MWB2923        65071478            09/09/2023        60
YJI3961        37328103            19/02/2024        31
BZY0235        45181396            26/03/2024        44
IMK4892        21344013            24/10/2023        90
CRR5443        66747161            28/01/2024        10
BUT4998        35030611            18/04/2024        44
FWP8469        37751890            08/11/2023        56
JSM8271        65830353            23/12/2023        79
QYH7021        46582367            08/01/2024        90
VMW6915        92240876            16/02/2024        71
ALH8812        83265244            19/12/2023        98
DVR5984        63602514            05/12/2023         2
PPI9259        60740809            08/10/2023        86
USE5598        57431952            12/03/2024        37
IBP7411        54393647            15/03/2024        61
EEJ4830        87804471            04/11/2023        16
VMW6915        14268463            25/11/2023        46
NFP3266        88080249            22/03/2024        72
NEW1762        37751890            01/03/2024        65
NBL8415        37751890            26/03/2024        57
RLQ7170        33583840            09/11/2023        74
TBZ2657        81462164            02/05/2024        11
ZLE2920        34460612            14/03/2024        92
RWW7975        42302422            02/04/2024        42
UCJ9882        45181396            12/03/2024         9
JGG5049        57431952            13/02/2024        18
QHZ8547        57431952            16/09/2023        89
LQA8555        49516360            02/02/2024        22
JXK3142        37328103            25/02/2024        30
BDK4183        72832218            09/03/2024        84
HVZ1228        83265244            16/02/2024        62
BZY0235        58717040            03/01/2024        92
DEK2757        57431952            02/09/2023        84
WHU1288        42302422            25/12/2023        65
XIU2628        17750908            03/03/2024        50
WPU8819        65071478            07/02/2024        16
KVL6246        47659552            20/04/2024        95
CKC4095        38724322            30/01/2024         6
HGN9910        76693511            09/09/2023        78
BUC5125        14500753            25/01/2024        24
LJD9991        37328103            17/10/2023        18
YKQ9278        49516360            04/12/2023        84
ZYF6683        17750908            30/11/2023        57
VSG3432        92240876            27/02/2024        51
FWK6327        85870289            01/10/2023         7
UXZ2187        51235238            07/09/2023        67
UQL8643        81082011            18/10/2023        17
ZQY9966        11750801            18/10/2023        28
SQB7146        48053960            08/02/2024        87
JLQ6546        14268463            16/11/2023        22
IUG2294        69200503            05/09/2023         8
CTW5846        60740809            18/03/2024        99
VMW6915        72832218            09/11/2023        86
NFP3266        47659552            14/09/2023        90
JJV7549        33583840            06/02/2024        84
CMP1150        27109544            20/09/2023        67
HWM4049        38724322            29/12/2023        27
HCT8192        11750801            22/09/2023        10
WYE2119        66747161            07/01/2024        33
TVR7016        45834351            23/11/2023        71
CKC4095        17750908            01/01/2024        91
BZY0235        65830353            06/01/2024        60
VMW6915        37751890            21/11/2023        60
BXE0974        21344013            06/04/2024        58
HHR5161        96056368            08/12/2023         4
CJN4376        86898639            09/02/2024        78
KSX7995        67066631            24/01/2024        75
MLC7198        20449598            21/10/2023        23
ZQY9966        69200503            04/03/2024        47
CKR6798        21344013            13/10/2023        77
EWI3090        92240876            23/03/2024         4
KWL0415        45002711            01/01/2024        47
JZC7527        33958767            08/05/2024        91
QCA9584        15129661            28/04/2024        81
IFL0150        14268463            19/03/2024        45
KBF4088        81082011            07/03/2024        67
MEH2993        88080249            20/09/2023        58
WWT1581        83265244            17/03/2024        89
WWT1581        27109544            27/01/2024        65
VSG3432        65830353            10/12/2023        53
FNM6936        37751890            20/04/2024        36
CXW5879        87804471            26/03/2024        85
OQK1590        14500753            24/10/2023        61
XCC4070        45181396            20/09/2023         3
PQZ1316        21344013            01/11/2023        33
WPU8819        37751890            23/03/2024        40
GDA4236        65830353            24/03/2024        56
PPI9259        92240876            24/03/2024        11
QKH2262        63602514            28/12/2023        33
IFL0150        60740809            13/09/2023        11
TBZ2657        57431952            27/11/2023        93
OWU1533        54393647            13/12/2023        23
EHX6253        14268463            26/12/2023        39
TAB4639        88080249            13/01/2024        31
QVX9089        37751890            29/09/2023        30
RSK1164        33583840            06/04/2024        38
TOJ1764        81462164            31/01/2024        25
ZOY6470        42302422            15/11/2023        34
UCA0857        57431952            11/12/2023        12
VFZ9435        49516360            27/10/2023        72
JSM8271        72832218            06/02/2024        75
RSK1164        83265244            08/05/2024        60
RNG2321        58717040            26/09/2023         7
MBQ9495        57431952            30/04/2024         4
RZX8790        42302422            21/12/2023        39
PQB0775        17750908            03/01/2024        44
OCI8959        47659552            18/10/2023        96
ZYF6683        38724322            18/09/2023        54
UDS2730        76693511            09/09/2023        89
PQZ1316        14500753            21/10/2023        57
OBH4691        37328103            09/11/2023        37
WCZ0845        49516360            16/12/2023        47
RYI5447        17750908            13/11/2023        23
MNL3677        92240876            25/02/2024        92
VFZ9435        51235238            28/09/2023        64
CRY6839        81082011            25/03/2024        29
VOI0019        11750801            18/10/2023        79
YZV6954        48053960            25/09/2023        69
AGQ7769        14268463            18/10/2023        49
ILG7766        69200503            23/03/2024        70
QRH6838        47659552            20/02/2024        10
JBR9372        33583840            05/04/2024        10
HSE3213        27109544            29/01/2024         3
VDL9379        11750801            25/02/2024        93
XJT3661        17750908            18/02/2024        91
JEN0751        21344013            01/03/2024         5
DVR5984        67066631            17/09/2023        32
IMC3155        21344013            06/12/2023        87
OCI8959        92240876            24/04/2024        19
FMX8255        15129661            28/03/2024        60
JNC0786        14268463            07/10/2023        54
CRR5443        81082011            02/10/2023        51
MBB0685        88080249            13/11/2023        97
EJE8138        83265244            13/04/2024        80
HPP3360        65830353            22/10/2023        78
VFZ9435        21344013            08/09/2023        54
CKC4095        37751890            23/09/2023        32
SMW0186        65830353            04/05/2024         3
XBC5847        14268463            18/11/2023        12
EBT7258        81462164            18/03/2024        62
KTA8754        42302422            06/03/2024        43
BTX3816        57431952            22/04/2024         1
LJE6687        83265244            22/11/2023        22
PHL4155        57431952            09/05/2024         2
JZQ8143        42302422            25/01/2024        44
TMR5068        38724322            05/05/2024        41
ILA4795        14500753            24/12/2023        36
KTA8754        37328103            04/01/2024        32
MVU0233        11750801            06/09/2023         5
