CODIGO     FECHA       DNI      CANTIDAD
BRD-969  23/08/2023  93160528       5
ZVA-180  23/08/2023  50365593       6
QFP-254  23/08/2023  12663268       5
BCN-855  23/08/2023  81114108       4
QHC-492  23/08/2023  29337157       6
PJG-338  23/08/2023  78078115       2
QTK-083  23/08/2023  93160528       3
SAM-013  23/08/2023  79372768       1
JDC-028  23/08/2023  31193794       1
AQS-362  23/08/2023  55552996       1
CNQ-172  23/08/2023  76388967       6
PFD-286  23/08/2023  89298238       2
VRR-793  23/08/2023  22280452       5
MTF-868  23/08/2023  79464412       6
LWG-915  23/08/2023  23928045       2
TKM-141  23/08/2023  89148118       6
YOT-530  23/08/2023  89298238       1
YYU-726  23/08/2023  77642521       2
QUU-384  23/08/2023  89429489       1
OFS-384  23/08/2023  83236386       1
QFP-254  23/08/2023  73185299       5
VXS-438  23/08/2023  69324480       3
XBD-314  23/08/2023  78922174       2
OTW-288  23/08/2023  64394265       5
PFD-286  23/08/2023  90237332       4
JXD-139  24/08/2023  50375303       6
VZV-827  24/08/2023  45783712       1
JXD-139  24/08/2023  79464412       4
TYF-885  24/08/2023  26290971       3
VJI-529  24/08/2023  35565959       5
VVS-017  24/08/2023  50365593       3
QRC-609  24/08/2023  25171011       3
AFL-718  24/08/2023  26976877       5
OXP-732  24/08/2023  79901434       2
SSD-176  24/08/2023  43877279       4
TMN-884  24/08/2023  88956889       1
JDC-028  24/08/2023  87800799       5
BCK-361  24/08/2023  97403853       5
OBI-353  24/08/2023  73914283       4
FEG-454  24/08/2023  59162728       4
RDT-761  24/08/2023  45877001       5
OTW-288  24/08/2023  15210391       3
FVB-607  24/08/2023  54761731       5
CSZ-863  24/08/2023  95015539       2
ZVA-180  24/08/2023  33713901       6
JFC-432  24/08/2023  89148118       5
ISU-815  24/08/2023  46462527       6
AVM-258  24/08/2023  45828535       2
GLC-370  24/08/2023  42928709       6
SSD-176  24/08/2023  78078115       1
AWB-345  24/08/2023  13245501       1
JJN-837  24/08/2023  11602775       2
OQI-373  24/08/2023  86402303       3
AHB-459  24/08/2023  12663268       3
KCO-488  24/08/2023  24995742       4
OWN-701  24/08/2023  36380447       5
LDR-510  24/08/2023  85949265       6
EBI-299  25/08/2023  96258632       5
EUZ-452  25/08/2023  87800799       2
OQI-373  25/08/2023  71378466       1
KWP-672  25/08/2023  87800799       2
HLR-109  25/08/2023  88995291       2
GBD-525  25/08/2023  52097922       5
CIM-038  25/08/2023  35565959       4
QUU-384  25/08/2023  67418025       1
BWD-036  25/08/2023  95751208       3
JXD-139  25/08/2023  26976877       2
QUU-384  25/08/2023  77642521       5
TYF-885  25/08/2023  79140840       2
YOT-530  25/08/2023  57263719       5
YJD-279  25/08/2023  62324793       5
AWB-345  25/08/2023  93845419       5
ICX-503  25/08/2023  87800799       2
UXG-019  25/08/2023  19829266       2
TZY-323  25/08/2023  57263719       6
DUG-251  25/08/2023  93160528       2
AHB-459  25/08/2023  79901434       3
SJQ-827  25/08/2023  50375303       2
MMA-577  25/08/2023  32821689       5
RDT-761  25/08/2023  42798099       6
XLF-273  25/08/2023  11602775       4
AFL-718  25/08/2023  49087435       1
AQS-362  25/08/2023  73786035       1
SNY-500  25/08/2023  45783712       5
CNQ-172  25/08/2023  16151792       1
DIQ-718  25/08/2023  62566305       4
ZWF-661  25/08/2023  13245501       1
SNY-500  25/08/2023  40348917       4
LDR-510  25/08/2023  73535476       2
MTF-868  25/08/2023  83236386       2
KBY-991  25/08/2023  58187172       6
YGV-332  25/08/2023  77484838       3
XZG-521  26/08/2023  26976877       3
DEV-433  26/08/2023  54761731       3
ICX-503  26/08/2023  27912250       1
KWP-672  26/08/2023  42157219       6
BWD-036  26/08/2023  24995742       1
VZV-827  26/08/2023  54761731       1
FLJ-040  26/08/2023  38637282       6
WZD-331  26/08/2023  29337157       4
AFL-718  26/08/2023  78922174       5
EUZ-452  26/08/2023  90365520       6
JJN-837  26/08/2023  11602775       1
KJX-387  26/08/2023  73535476       4
MQR-442  26/08/2023  86828079       3
HFC-845  26/08/2023  13245501       6
XLF-273  26/08/2023  57690875       4
TZY-323  26/08/2023  77191257       3
BWD-036  26/08/2023  79475585       5
BCK-361  26/08/2023  49087435       3
ZVA-180  26/08/2023  54761731       4
FLJ-040  26/08/2023  27912250       3
GXF-122  26/08/2023  78757121       1
III-576  26/08/2023  42157219       6
BIT-434  26/08/2023  71378466       4
KQQ-136  26/08/2023  32904023       1
MQR-442  26/08/2023  83505958       1
ZAF-449  26/08/2023  99842319       1
RDT-761  26/08/2023  59407188       5
ZWF-661  26/08/2023  57263719       5
VVS-017  26/08/2023  95161027       5
QJO-060  26/08/2023  45828535       6
ARS-231  26/08/2023  78757121       4
VCL-867  26/08/2023  81114108       1
AFL-718  26/08/2023  77484838       1
XSD-310  26/08/2023  31611146       1
UWA-476  26/08/2023  17972674       4
VRR-793  26/08/2023  40348917       3
CIM-038  26/08/2023  94080926       2
OPT-996  26/08/2023  83236386       2
OQI-373  26/08/2023  86402303       3
TXM-139  26/08/2023  79901434       2
OXP-732  27/08/2023  91897732       2
GBJ-693  27/08/2023  45877001       5
XOA-735  27/08/2023  78078115       2
YGV-332  27/08/2023  86828079       1
QUU-384  27/08/2023  73185299       3
KQA-580  27/08/2023  96659352       6
YOT-530  27/08/2023  43053402       2
SSD-176  27/08/2023  55552996       6
KQQ-136  27/08/2023  26976877       3
KSO-608  27/08/2023  40112594       6
HLR-109  27/08/2023  79140840       1
AQS-362  27/08/2023  41036366       2
CRU-009  27/08/2023  66409237       4
OQI-373  27/08/2023  90237332       1
OQI-373  27/08/2023  78922174       3
DFF-034  27/08/2023  79140840       3
SNY-500  27/08/2023  43877279       4
YYK-309  27/08/2023  11602775       3
CRU-009  27/08/2023  54716824       6
OFS-384  27/08/2023  38637282       1
MLE-193  27/08/2023  87813843       4
FYF-898  27/08/2023  15561764       2
OBI-353  27/08/2023  73914283       1
XSD-310  27/08/2023  12663268       6
XLF-273  27/08/2023  17913944       4
JFC-432  27/08/2023  26233063       4
FLW-631  27/08/2023  38913831       3
UXG-019  27/08/2023  32565207       4
OTH-462  27/08/2023  57263719       2
SSE-115  27/08/2023  89863424       4
EVN-510  27/08/2023  67418025       5
YUQ-590  27/08/2023  26976877       4
XTE-383  27/08/2023  57690875       6
JFC-432  27/08/2023  84165595       3
PJG-338  27/08/2023  63437380       2
XLF-273  27/08/2023  22777006       2
ISU-815  27/08/2023  52097922       5
JCW-489  27/08/2023  13245501       5
YYK-309  27/08/2023  22777006       3
BRD-969  27/08/2023  95751208       4
YEZ-591  27/08/2023  63437380       5
YZD-580  27/08/2023  37110873       5
CIM-038  27/08/2023  25171011       1
III-576  27/08/2023  60574154       6
KJX-387  27/08/2023  78757121       4
TZY-323  28/08/2023  45828535       6
BWD-036  28/08/2023  57263719       3
OXP-732  28/08/2023  23928045       3
DEN-125  28/08/2023  73786035       4
CJE-310  28/08/2023  79464412       5
AVM-258  28/08/2023  35584593       4
NMV-644  28/08/2023  94080926       5
MYC-756  28/08/2023  85871751       2
CIM-038  28/08/2023  57690875       3
QFP-254  28/08/2023  43043986       5
AWB-345  28/08/2023  44679500       1
FVQ-662  28/08/2023  32565207       5
HFM-021  28/08/2023  69975105       6
QFP-254  28/08/2023  89298238       2
FVQ-662  28/08/2023  43053402       6
BCN-855  28/08/2023  71463316       4
XLF-273  28/08/2023  89148118       5
OQI-373  28/08/2023  95161027       1
TKM-141  28/08/2023  78922174       5
QUU-384  28/08/2023  43877279       5
BCK-361  28/08/2023  40112594       2
UXG-019  28/08/2023  66409237       4
QVJ-982  28/08/2023  79372768       6
YMU-875  28/08/2023  24995742       3
BCK-361  28/08/2023  80048864       3
UWA-476  28/08/2023  71463316       3
BIT-434  28/08/2023  59407188       6
ARS-231  28/08/2023  71378466       6
UWA-476  28/08/2023  77484838       1
ZWF-661  28/08/2023  17972674       1
OTH-462  28/08/2023  89863424       6
SSE-115  28/08/2023  26976877       4
KCO-488  28/08/2023  42157219       2
OTS-581  28/08/2023  42157219       5
DFJ-952  28/08/2023  35565959       2
NSM-283  28/08/2023  42928709       5
KJX-387  28/08/2023  32904023       3
KSO-608  28/08/2023  26233063       3
KQQ-136  28/08/2023  79475585       6
PPX-620  28/08/2023  80048864       1
SJQ-827  28/08/2023  76388967       5
CIM-038  28/08/2023  86241107       2
KDA-627  28/08/2023  60574154       5
OPJ-039  28/08/2023  62324793       2
CNN-411  29/08/2023  16552775       5
DON-719  29/08/2023  69639726       1
AQS-362  29/08/2023  16151792       1
SNY-500  29/08/2023  44229880       3
ONB-903  29/08/2023  53166028       3
KCO-488  29/08/2023  71463316       5
WZD-331  29/08/2023  87800799       2
BXY-119  29/08/2023  31193794       5
DFF-034  29/08/2023  98140264       2
VRR-793  29/08/2023  43053402       2
YUQ-590  29/08/2023  20864087       5
BTO-226  29/08/2023  87800799       3
YMU-875  29/08/2023  45828535       5
QHC-492  29/08/2023  53166028       1
SJD-818  29/08/2023  55552996       1
FQG-293  29/08/2023  95161027       4
VCL-867  29/08/2023  25171011       3
EBI-299  29/08/2023  71463316       6
PJG-338  29/08/2023  45877001       2
DFJ-952  29/08/2023  77642521       5
HFM-021  29/08/2023  88956889       6
FEG-454  29/08/2023  86241107       2
RBE-789  29/08/2023  81114108       2
OWN-701  29/08/2023  52097922       2
UDR-957  29/08/2023  77484838       3
FQG-293  29/08/2023  62324793       1
XSD-310  29/08/2023  71378466       3
BCK-361  29/08/2023  29847168       1
KWP-672  29/08/2023  46462527       3
NSM-283  29/08/2023  79464412       2
EBI-299  29/08/2023  76388967       5
TYF-885  30/08/2023  83505958       5
QIL-029  30/08/2023  42928709       4
DON-719  30/08/2023  15210391       2
WZD-331  30/08/2023  69975105       6
VCL-867  30/08/2023  89429489       6
ONB-903  30/08/2023  32821689       3
GXF-122  30/08/2023  62566305       5
XBD-314  30/08/2023  62324793       5
JXD-139  30/08/2023  35565959       5
TKM-141  30/08/2023  32565207       4
QRC-609  30/08/2023  89863424       3
GBJ-693  30/08/2023  97403853       4
KQQ-136  30/08/2023  96659352       3
OTH-462  30/08/2023  79140840       1
TKM-141  30/08/2023  23928045       5
KQA-580  30/08/2023  48184351       2
KBY-991  30/08/2023  45877001       6
AVM-258  30/08/2023  73185299       3
GKG-558  30/08/2023  26290971       3
VRR-793  30/08/2023  85949265       5
KQQ-136  30/08/2023  97403853       6
RBE-789  30/08/2023  86402303       6
QHC-492  30/08/2023  96258632       2
AWB-345  30/08/2023  63437380       4
GBD-525  30/08/2023  87800799       6
AQS-362  30/08/2023  15210391       2
TXM-139  30/08/2023  19829266       3
AFL-718  30/08/2023  50365593       5
QFP-254  31/08/2023  90237332       3
CNN-411  31/08/2023  42798099       6
DFF-034  31/08/2023  81114108       5
KBY-991  31/08/2023  90365520       6
SSD-176  31/08/2023  35584593       4
YJD-279  31/08/2023  97403853       3
LWG-915  31/08/2023  46462527       6
QIL-029  31/08/2023  93845419       6
OTH-462  31/08/2023  73185299       3
VRR-793  31/08/2023  87800799       2
OFS-384  31/08/2023  64394265       5
XSD-310  31/08/2023  45828535       4
TMJ-043  31/08/2023  69975105       6
HFM-021  31/08/2023  86402303       6
OQI-373  31/08/2023  87813843       1
UDR-957  31/08/2023  54716824       1
VDD-853  31/08/2023  37110873       4
AWB-345  31/08/2023  25171011       6
FEG-454  31/08/2023  67418025       2
FCN-617  31/08/2023  22777006       1
JDQ-505  31/08/2023  48467976       5
AWT-354  31/08/2023  71463316       4
QUU-384  31/08/2023  37110873       4
EBI-299  31/08/2023  89148118       6
YUQ-590  31/08/2023  45783712       2
QIL-029  31/08/2023  13245501       2
ZEX-027  31/08/2023  54716824       6
LDR-510  31/08/2023  62324793       1
HFM-021  01/09/2023  84165595       6
UXG-019  01/09/2023  86241107       2
SSE-115  01/09/2023  79420973       5
VXS-438  01/09/2023  13245501       3
QHC-492  01/09/2023  73185299       3
SSD-176  01/09/2023  43043986       5
UCX-285  01/09/2023  22280452       3
ZEX-027  01/09/2023  77191257       6
XBD-314  01/09/2023  78922174       3
III-576  01/09/2023  49087435       2
TMN-884  01/09/2023  42798099       5
DEN-125  01/09/2023  17913944       1
FQG-293  01/09/2023  78078115       4
ADX-669  01/09/2023  96659352       4
YYU-726  01/09/2023  93160528       1
QVJ-982  01/09/2023  77191257       5
FVQ-662  01/09/2023  31611146       4
UJV-290  01/09/2023  89298238       4
GLC-370  01/09/2023  28390487       2
AFL-718  01/09/2023  89148118       1
TZY-323  01/09/2023  71984468       1
BMJ-772  01/09/2023  40348917       1
DUG-251  01/09/2023  32904023       4
RDT-761  01/09/2023  19829266       3
IDO-503  01/09/2023  16151792       6
XSD-310  01/09/2023  87813843       3
QVJ-982  01/09/2023  41036366       4
DIQ-718  01/09/2023  43488351       6
XZR-640  01/09/2023  91897732       5
UJV-290  01/09/2023  83236386       5
JXD-139  01/09/2023  79140840       4
DFJ-952  01/09/2023  84165595       1
BZS-261  01/09/2023  35565959       1
LWG-915  01/09/2023  50365593       3
UWA-476  02/09/2023  88956889       6
GLC-370  02/09/2023  79372768       4
FVB-607  02/09/2023  89863424       1
VXS-438  02/09/2023  15210391       4
MTF-868  02/09/2023  32821689       5
CJE-310  02/09/2023  98140264       3
BXY-119  02/09/2023  13245501       5
TXM-139  02/09/2023  94080926       5
LYZ-614  02/09/2023  59407188       3
TZY-323  02/09/2023  15210391       3
RDT-761  02/09/2023  84165595       6
JDQ-505  02/09/2023  20864087       6
BXY-119  02/09/2023  89429489       3
MYC-756  02/09/2023  88956889       4
SJD-818  02/09/2023  41036366       4
DON-719  02/09/2023  24995742       3
DIQ-718  02/09/2023  69324480       1
SSD-176  02/09/2023  37110873       1
AFL-718  02/09/2023  50375303       1
QFP-254  02/09/2023  32904023       4
QTK-083  02/09/2023  55552996       1
TKM-141  02/09/2023  90237332       3
VDD-853  02/09/2023  90365520       5
VJI-529  02/09/2023  33397650       6
TMN-884  02/09/2023  50365593       6
GXF-122  02/09/2023  79420973       3
JDC-028  02/09/2023  50365593       6
UWA-476  02/09/2023  33713901       2
EUZ-452  02/09/2023  79372768       5
MMA-577  02/09/2023  43053402       6
AWT-354  02/09/2023  66409237       6
III-576  02/09/2023  95161027       5
TXM-139  02/09/2023  53166028       3
EJW-346  02/09/2023  78922174       6
DFJ-952  02/09/2023  78078115       5
JFC-432  02/09/2023  20864087       1
SSD-176  02/09/2023  45783712       6
KWP-672  02/09/2023  77191257       2
HFM-021  02/09/2023  29337157       4
OBI-353  02/09/2023  79901434       6
DOV-560  02/09/2023  57263719       4
BRD-969  02/09/2023  98140264       1
DFJ-952  02/09/2023  40348917       2
QIL-029  02/09/2023  86828079       5
QRC-609  02/09/2023  79140840       5
YOT-530  02/09/2023  89298238       4
BXY-119  02/09/2023  20864087       4
DFF-034  02/09/2023  66409237       4
OQI-373  02/09/2023  42928709       5
FVQ-662  03/09/2023  71378466       2
DUG-251  03/09/2023  99842319       2
PVZ-181  03/09/2023  26290971       3
CSZ-863  03/09/2023  79901434       5
FVQ-662  03/09/2023  40112594       4
AWB-345  03/09/2023  16552775       6
TMN-884  03/09/2023  23928045       2
UOD-420  03/09/2023  69324480       3
VVS-017  03/09/2023  33713901       1
ZEX-027  03/09/2023  43043986       1
AQS-362  03/09/2023  16151792       1
UWA-476  03/09/2023  73535476       5
AVM-258  03/09/2023  62566305       1
OTH-462  03/09/2023  57263719       5
XSD-310  03/09/2023  52097922       6
CRU-009  03/09/2023  96258632       2
UXG-019  03/09/2023  89429489       1
CRU-009  03/09/2023  50375303       5
UTN-601  03/09/2023  52097922       2
FLJ-040  03/09/2023  73535476       4
YYU-726  03/09/2023  12663268       4
GBJ-693  03/09/2023  96659352       3
FCN-617  03/09/2023  37110873       6
XZG-521  03/09/2023  52097922       4
OQI-373  03/09/2023  42798099       2
OTS-581  03/09/2023  54761731       5
VTV-269  03/09/2023  26976877       4
ZEX-027  03/09/2023  79901434       2
UOD-420  03/09/2023  95751208       4
GBJ-693  03/09/2023  15561764       2
RBE-789  03/09/2023  32904023       6
OWN-701  03/09/2023  59407188       1
JFC-432  04/09/2023  85949265       4
BCN-855  04/09/2023  38913831       3
YMU-875  04/09/2023  45783712       4
VXS-438  04/09/2023  50375303       4
MTF-868  04/09/2023  88995291       3
UWA-476  04/09/2023  26233063       1
JXD-139  04/09/2023  44229880       4
HLR-109  04/09/2023  36380447       2
RAH-420  04/09/2023  12663268       3
PFD-286  04/09/2023  91897732       2
YOT-530  04/09/2023  31611146       4
XLF-273  04/09/2023  42928709       4
KQA-580  04/09/2023  50375303       5
FQG-293  04/09/2023  69975105       5
YJD-279  04/09/2023  50375303       5
PFD-286  04/09/2023  76388967       6
TXM-139  04/09/2023  48184351       1
IHG-413  04/09/2023  33397650       3
DFJ-952  04/09/2023  25171011       4
TMN-884  04/09/2023  91897732       2
BRD-969  04/09/2023  66409237       3
ZWF-661  04/09/2023  77191257       4
IDO-503  04/09/2023  32565207       6
III-576  04/09/2023  63437380       5
QFP-254  04/09/2023  42928709       5
YUQ-590  04/09/2023  88956889       2
SPR-580  04/09/2023  94080926       5
JCW-489  04/09/2023  69324480       5
QRC-609  04/09/2023  35565959       5
UWA-476  04/09/2023  88956889       3
QFR-958  04/09/2023  27912250       3
AQS-362  05/09/2023  42798099       1
KJX-387  05/09/2023  13245501       5
XOA-735  05/09/2023  13245501       5
BMJ-772  05/09/2023  12663268       1
YYU-726  05/09/2023  67418025       6
VJI-529  05/09/2023  69324480       1
TZY-323  05/09/2023  16151792       3
UXG-019  05/09/2023  55552996       6
BWD-036  05/09/2023  60574154       2
XSD-310  05/09/2023  22280452       2
KQA-580  05/09/2023  63437380       2
CNQ-172  05/09/2023  62566305       3
KCO-488  05/09/2023  46462527       4
CIM-038  05/09/2023  93845419       5
JXD-139  05/09/2023  89298238       3
ICX-503  05/09/2023  89298238       3
BRD-969  05/09/2023  73914283       3
SPR-580  05/09/2023  54716824       3
YUQ-590  05/09/2023  64394265       1
VRR-793  05/09/2023  98589725       1
DOV-560  05/09/2023  76388967       2
RDT-761  05/09/2023  80048864       5
TYF-885  05/09/2023  43877279       5
