                                                  Reporte Clientes 
===============================================================================================================================================================================
Dni Cliente                   Nombre Cliente                               Total gastado  Productos
87813843       AYALA ACUNA RONY ALEX                                       8647.37        Productos entregados: MLE-193 XSD-310 LDR-510 OQI-373 
78757121       ASTETE SOLIS FANNY                                          6636.56        Productos entregados: OQI-373 ZXK-295 GXF-122 ARS-231 KJX-387 
53166028       CANO CHUNG EMILIO NICOLAS                                   3653.85        Productos entregados: QHC-492 ONB-903 TXM-139 
15210391       QUIROGA CASANOVA BRUNO                                      8878.46        Productos entregados: RSE-049 TZY-323 OTW-288 VXS-438 HFM-021 DON-719 AQS-362 
89429489       SERRANO IPARRAGUIRRE VIRGINIA                               6955.74        Productos entregados: VXS-438 QUU-384 UXG-019 VCL-867 BXY-119 
43488351       MINAYA CERNA LORENA FIORELLA                                5445.48        Productos entregados: XLF-273 DIQ-718 QTK-083 
73185299       CORTES LANDA SURAMI                                         7995.69        Productos entregados: OTH-462 QHC-492 QUU-384 QFP-254 AVM-258 
36380447       RIVERO RETTO JESUS                                          660.29         Productos entregados: OWN-701 HLR-109 
97403853       PISCOYA MALCA MARIA MONICA                                  4354.72        Productos entregados: KQQ-136 BCK-361 YJD-279 GBJ-693 
13245501       ESCALANTE YINO EDWARD GONZALO                               18421.7        Productos entregados: AWB-345 XOA-735 VXS-438 HFC-845 ZWF-661 BXY-119 QIL-029 JCW-489 KJX-387 
89148118       ZAMBRANO LEYVA ALVARO                                       7034.4         Productos entregados: TKM-141 XLF-273 AFL-718 JFC-432 EBI-299 
93845419       QUIO GAVIDIA DIALY FELICITA                                 8927           Productos entregados: CIM-038 AWB-345 QIL-029 NSR-955 
19829266       TOMASICHE MEJIA MELVIN                                      2932.81        Productos entregados: TXM-139 RDT-761 UXG-019 
26233063       TSUKAZAN AYALA MARINA MAGDA                                 3229.66        Productos entregados: ZAF-449 UWA-476 KSO-608 JFC-432 
78922174       ALAMO MEZA ALVARO                                           6222.87        Productos entregados: TKM-141 AFL-718 EJW-346 XBD-314 XBD-314 OQI-373 
42798099       ZEGARRA MUNOZ SONIA GUIDA                                   4651.1         Productos entregados: AQS-362 TMN-884 OQI-373 CNN-411 RDT-761 
79901434       SALAZAR FLORENCIO SANDRO JOHNNY                             26800.8        Productos entregados: OBI-353 ZEX-027 AHB-459 OXP-732 CSZ-863 TXM-139 
50375303       SANCHEZ HUAYANAY DIALY LUCERO                               10622.8        Productos entregados: JXD-139 CRU-009 KQA-580 AFL-718 YJD-279 SJQ-827 VXS-438 
55552996       SUCHERO PRECIADO MILAGROS ERICKA                            10590.5        Productos entregados: AQS-362 UXG-019 SJD-818 FQG-293 QTK-083 SSD-176 
45828535       SEDANO MERCADO FIORELLA GLORIA                              13368.4        Productos entregados: QJO-060 XSD-310 AVM-258 TZY-323 YMU-875 
44229880       PALOMARES BARRIOS EDWARD CESAR                              4322.58        Productos entregados: JXD-139 SNY-500 HLR-109 
59162728       HUAYANAY CORTES GLENDA MARINA                               1695.7         Productos entregados: FEG-454 
88995291       PEREZ TORRES MILAGROS REBECA                                1411.06        Productos entregados: MTF-868 HLR-109 
73914283       CASANOVA CARBAJAL RICARDO ISRAEL                            8500.84        Productos entregados: OBI-353 BRD-969 OBI-353 
44679500       CORREA ARCA HELI                                            800.37         Productos entregados: AWB-345 
59407188       CANALES MOYA ALONSO JULIO                                   5011.7         Productos entregados: BIT-434 OWN-701 RDT-761 LYZ-614 
27635082       CONTRERAS GUEVARA MARINA                                    0              Productos entregados: NO SE LE ENTREGARON PRODUCTOS
54716824       VALVERDE SEGURA MIGUEL JOSE                                 7765.58        Productos entregados: SPR-580 UDR-957 ZEX-027 CRU-009 
40112594       CARO RARAZ CHRISTIAN RONAL                                  6134.95        Productos entregados: KSO-608 BCK-361 EBI-299 FVQ-662 
37110873       VERGEL HIJAR JESUS                                          12213.8        Productos entregados: SSD-176 QUU-384 YZD-580 GXF-122 UWA-476 FCN-617 VDD-853 
83505958       CONTRERAS MEZA ERIKA BLANCA                                 1425.5         Productos entregados: TYF-885 EJW-346 MQR-442 
85871751       AYALA LAURA JANET                                           1506.8         Productos entregados: MYC-756 
11602775       HIJAR ARCA ADOLFO                                           15356.7        Productos entregados: CIM-038 JJN-837 XLF-273 YYK-309 JJN-837 TMJ-043 
86402303       RUIZ RUIZ OFELIA DELIA                                      5842.3         Productos entregados: OQI-373 OQI-373 RBE-789 HFM-021 
23928045       ARCA VILCA RONALD                                           18318.8        Productos entregados: TMN-884 OXP-732 TKM-141 LWG-915 
12663268       BARRERA FLORES ENRIQUE                                      4987.23        Productos entregados: AHB-459 YYU-726 XSD-310 RAH-420 BMJ-772 QFP-254 
42928709       HERNANDEZ MALCA VIRGINIA                                    7938.36        Productos entregados: NSM-283 OQI-373 XLF-273 QFP-254 QIL-029 GLC-370 
85949265       LEYVA GONZALES CINTHIA                                      7631.11        Productos entregados: JFC-432 TMJ-043 YUQ-590 VRR-793 LDR-510 
17972674       PISCOYA PORTUGAL WALDEMAR GUSTAVO                           4485.51        Productos entregados: ZWF-661 UWA-476 UTN-601 
38913831       FUENTES TSUKAZAN PATRICIA OFELIA                            6724.92        Productos entregados: BCN-855 YZD-580 JFC-432 FLW-631 
36008913       CASTILLO ZAMORA VICTOR NESTOR                               3736.75        Productos entregados: HFC-845 
49087435       GALLO MARTINEZ VICTOR GUILLERMO                             10888.8        Productos entregados: VDD-853 BCK-361 SJQ-827 PJG-338 XZR-640 AFL-718 III-576 
58187172       SUAREZ ZIMIC MOISES                                         1161.19        Productos entregados: KBY-991 VXS-438 
69324480       FLORES IPARRAGUIRRE HENRRY RICARDO                          4447.49        Productos entregados: JCW-489 UOD-420 VXS-438 DIQ-718 VJI-529 
32565207       RIVERA ZARATE MARINA                                        9064.61        Productos entregados: IDO-503 UXG-019 FVQ-662 TKM-141 ZWF-661 
71463316       PRADO CALIXTO KARIN                                         11764.3        Productos entregados: AWT-354 KCO-488 EBI-299 UWA-476 QFP-254 BCN-855 
86828079       PRECIADO ADAMS ERIKA DELIA                                  5779.87        Productos entregados: QIL-029 MQR-442 YGV-332 
29337157       VIZCARDO YEP GUIDA YOLANDA                                  7691.68        Productos entregados: QHC-492 ZEX-027 HFM-021 WZD-331 
32904023       PRADO FORZANI LOURDES                                       9109.61        Productos entregados: DUG-251 KJX-387 QFP-254 RBE-789 SAM-013 KQQ-136 
28390487       IPARRAGUIRRE PAREDES RAUL                                   552.24         Productos entregados: GLC-370 
98589725       FORZANI ANTEZANO OSCAR JOSE                                 241.71         Productos entregados: VRR-793 
77484838       EPIQUEN ALAMO NANCY                                         9077.98        Productos entregados: UWA-476 BTO-226 AFL-718 UDR-957 YUQ-590 YGV-332 
88956889       CHUMPITAZ CARBAJAL MARITZA                                  6906.21        Productos entregados: TMN-884 YUQ-590 HFM-021 UWA-476 MYC-756 UWA-476 
89863424       SANTISTEBAN BRAVO EDGARD                                    8534.35        Productos entregados: SSE-115 FVB-607 OTH-462 QRC-609 
99842319       MARTINEZ MARTINEZ CARMELA                                   2414.39        Productos entregados: DUG-251 ZAF-449 
98140264       ALAMO ZEGARRA ISRAEL GUSTAVO                                8389.59        Productos entregados: DFF-034 BRD-969 QHC-492 CJE-310 
69639726       ROJAS PATINO GONZALO JAIR                                   1728.17        Productos entregados: OPT-996 DON-719 
93160528       SANTISTEBAN MARTEL MARTIN LUIS                              7628.23        Productos entregados: YYU-726 BRD-969 QTK-083 DUG-251 
24995742       MEREL TAVERA WALTER                                         5358.73        Productos entregados: KCO-488 YMU-875 DON-719 BWD-036 
43043986       LOZADA VALVERDE MOISES HENRRY                               5685.06        Productos entregados: ZEX-027 QFP-254 SSD-176 TXM-139 
52097922       CUBA DURAND YVONNE                                          8848.67        Productos entregados: ISU-815 OWN-701 GBD-525 UTN-601 XSD-310 MMA-577 XZG-521 
                                                  Reporte Prodcutos 
====================================================================================================
Cod. Producto    Nombre Prodcuto                                      Precio    Stock final
----------------------------------------------------------------------------------------------------
BIT-434   Campana Extractora modelo Glass                             375.09         8
Clientes atendidos:  71378466   59407188   
No hay clientes sin atender

....................................................................................................
SSE-115   Refrigeradora  CoolStyle 311N Steel                         3243.58        0
Clientes atendidos:  89863424   79420973   26976877   
No hay clientes sin atender

....................................................................................................
NMV-644   Lavadora Automatica                                         3272.48        4
Clientes atendidos:  94080926   
No hay clientes sin atender

....................................................................................................
MLE-193   Cocina a gas Ingenious                                      2779.41        9
Clientes atendidos:  87813843   
No hay clientes sin atender

....................................................................................................
YYK-309   Refrigeradora Door in Door                                  4079.44        22
Clientes atendidos:  22777006   11602775   64394265   
No hay clientes sin atender

....................................................................................................
QVJ-982   Horno Microondas 0.7 p3                                     1352.76        9
Clientes atendidos:  77191257   79372768   41036366   
No hay clientes sin atender

....................................................................................................
VZV-827   Refrigeradora Top Mount                                     1784.27        0
Clientes atendidos:  54761731   45783712   
No hay clientes sin atender

....................................................................................................
HFC-845   Televisor Serie LED R555A                                   3736.75        0
Clientes atendidos:  13245501   86241107   
Clientes NO atendidos:  36008913   

....................................................................................................
AVM-258   Cocina a gas Toscana                                        2831.23        5
Clientes atendidos:  35584593   45828535   62566305   77191257   73185299   
No hay clientes sin atender

....................................................................................................
YUQ-590   Refrigeradora  CoolStyle 395N Steel                         1979.07        2
Clientes atendidos:  45783712   88956889   77484838   20864087   85949265   64394265   26976877   
No hay clientes sin atender

....................................................................................................
FLJ-040   Parlantes portatiles SOUNDSHOOTER                           3703.37        15
Clientes atendidos:  73535476   40348917   38637282   27912250   
No hay clientes sin atender

....................................................................................................
EUZ-452   Impresora Mutifuncional Led Color                           3623.88        8
Clientes atendidos:  90365520   87800799   79372768   
No hay clientes sin atender

....................................................................................................
SPR-580   Dispensador de Agua                                         404.35         0
Clientes atendidos:  54716824   20864087   94080926   
No hay clientes sin atender

....................................................................................................
WLL-607   Cocina Electronica Convencion                               1525.04        0
Clientes atendidos:  91897732   
No hay clientes sin atender

....................................................................................................
UWA-476   Autoradio MEX BT3150U                                       1191.39        10
Clientes atendidos:  77484838   73535476   17972674   37110873   71463316   88956889   88956889   26233063   33713901   
No hay clientes sin atender

....................................................................................................
YOT-530   Deshumedecedor DM-190H                                      941.73         8
Clientes atendidos:  43053402   31611146   89298238   89298238   57263719   
No hay clientes sin atender

....................................................................................................
NSR-955   Cocina a gas Blogna                                         2591.44        13
Clientes atendidos:  93845419   
No hay clientes sin atender

....................................................................................................
SJD-818   Refrigeradora  CoolStyle 281A Steel                         3387.75        21
Clientes atendidos:  41036366   55552996   
No hay clientes sin atender

....................................................................................................
BCK-361   Tablets 10.1                                                1872.53        0
Clientes atendidos:  49087435   97403853   
Clientes NO atendidos:  80048864   29847168   40112594   

....................................................................................................
ZAF-449   Tablet Cardle                                               816.43         14
Clientes atendidos:  26233063   99842319   
No hay clientes sin atender

....................................................................................................
OBI-353   Terma Milenium                                              2960.56        13
Clientes atendidos:  79901434   73914283   73914283   
No hay clientes sin atender

....................................................................................................
SNY-500   Cocina a gas Praga Quarzo                                   3297.09        8
Clientes atendidos:  40348917   43877279   44229880   45783712   
No hay clientes sin atender

....................................................................................................
CSZ-863   Video Filmadora                                             1713.57        4
Clientes atendidos:  57690875   95015539   79901434   
No hay clientes sin atender

....................................................................................................
TMJ-043   Lavadora EcoBubble                                          2400.79        0
Clientes atendidos:  85949265   78078115   11602775   
Clientes NO atendidos:  69975105   

....................................................................................................
MTF-868   Impresora Monocromatica WorkForce M205                      971.59         8
Clientes atendidos:  83236386   79464412   32821689   88995291   
No hay clientes sin atender

....................................................................................................
BMJ-772   Refrigeradora Side by Side                                  936.32         11
Clientes atendidos:  40348917   12663268   
No hay clientes sin atender

....................................................................................................
MYC-756   Cocina a gas Leganza INOX                                   1506.8         19
Clientes atendidos:  85871751   88956889   
No hay clientes sin atender

....................................................................................................
FCN-617   Televisor Plasma 60                                         4121.05        4
Clientes atendidos:  22777006   37110873   
No hay clientes sin atender

....................................................................................................
ONB-903   Reproductor BLU-RAY 3D                                      653.67         14
Clientes atendidos:  32821689   53166028   
No hay clientes sin atender

....................................................................................................
VXS-438   Mouse Blue Tooth                                            60.11          11
Clientes atendidos:  13245501   89429489   69324480   15210391   50375303   58187172   
No hay clientes sin atender

....................................................................................................
GLC-370   Video Proyector Power Lite 95                               552.24         16
Clientes atendidos:  28390487   79372768   42928709   
No hay clientes sin atender

....................................................................................................
OPT-996   Mini componente GPX88                                       1367.48        1
Clientes atendidos:  25171011   83236386   69639726   
No hay clientes sin atender

....................................................................................................
PFD-286   Refrigeradora cap. 415 litros                               2776.02        4
Clientes atendidos:  90237332   89298238   76388967   91897732   
No hay clientes sin atender

....................................................................................................
KBY-991   Home Theater E4100                                          1101.08        1
Clientes atendidos:  90365520   58187172   45877001   
No hay clientes sin atender

....................................................................................................
KQQ-136   Impresora Laser EPSON                                       1139.56        12
Clientes atendidos:  97403853   79475585   26976877   96659352   32904023   
No hay clientes sin atender

....................................................................................................
NSM-283   Cocina a gas FFG3053SL                                      936.81         11
Clientes atendidos:  79464412   42928709   
No hay clientes sin atender

....................................................................................................
ICX-503   Cocina a gas Roma                                           1221.02        11
Clientes atendidos:  27912250   87800799   66409237   89298238   
No hay clientes sin atender

....................................................................................................
LDR-510   Mini componente ESX9                                        2701.87        21
Clientes atendidos:  62324793   73535476   87813843   85949265   
No hay clientes sin atender

....................................................................................................
PJG-338   Impresora Mutifuncional Inalambricar                        1067.8         17
Clientes atendidos:  63437380   45877001   49087435   78078115   
No hay clientes sin atender

....................................................................................................
ISB-205   Camara fotografica 16MP                                     2976.43        3
No se atendieron Pedidos

No hay clientes sin atender

....................................................................................................
UDR-957   Refrigeradora ECOTT 423 IXL                                 861.7          17
Clientes atendidos:  77484838   54716824   
No hay clientes sin atender

....................................................................................................
RAH-420   Cocina a gas Pro 6550 INOX                                  157.01         0
Clientes atendidos:  12663268   
Clientes NO atendidos:  15561764   

....................................................................................................
JDQ-505   Lavadora Modelo Aquamatic                                   1572.31        22
Clientes atendidos:  20864087   48467976   
No hay clientes sin atender

....................................................................................................
PPX-620   Aire acondicionado tipo split                               2873.42        7
Clientes atendidos:  80048864   
No hay clientes sin atender

....................................................................................................
XZG-521   Secadora Electrica FAQE7001LW                               704.27         20
Clientes atendidos:  52097922   26976877   
No hay clientes sin atender

....................................................................................................
VJI-529   Horno Empotrable Electrico                                  1102.67        12
Clientes atendidos:  95161027   33397650   69324480   35565959   
No hay clientes sin atender

....................................................................................................
JCW-489   Conservadora Exibidora CMVE-250                             2064.97        9
Clientes atendidos:  69324480   13245501   
No hay clientes sin atender

....................................................................................................
OTS-581   Galaxy Note 8.0                                             2653.1         22
Clientes atendidos:  42157219   54761731   
No hay clientes sin atender

....................................................................................................
UTN-601   Autoradio XAV-601 BT                                        562.51         2
Clientes atendidos:  52097922   17972674   
No hay clientes sin atender

....................................................................................................
TZY-323   Terma a gas                                                 2341.01        0
Clientes atendidos:  57263719   15210391   16151792   45828535   
Clientes NO atendidos:  71984468   26290971   77191257   50365593   95161027   

....................................................................................................
TXM-139   Televisor LED FULL HD 3D                                    1092.95        0
Clientes atendidos:  19829266   94080926   43043986   48184351   53166028   
Clientes NO atendidos:  79901434   

....................................................................................................
ADX-669   Refrigeradora cap. 220 litros                               1239.38        1
Clientes atendidos:  96659352   
No hay clientes sin atender

....................................................................................................
QRC-609   Camara de video EOS                                         1806.66        12
Clientes atendidos:  25171011   35565959   87800799   89863424   79140840   
No hay clientes sin atender

....................................................................................................
YJD-279   Cocina a gas Florencia                                      1028.43        0
Clientes atendidos:  62324793   50375303   17913944   
Clientes NO atendidos:  97403853   

....................................................................................................
AHB-459   Reproductor DVD Portatil TV 7                               685.5          7
Clientes atendidos:  12663268   79901434   
No hay clientes sin atender

....................................................................................................
MMA-577   Congeladora Horizontal 252 Lts.                             1780.3         11
Clientes atendidos:  43053402   32821689   52097922   
No hay clientes sin atender

....................................................................................................
VCL-867   Cocina a gas Rubi 2                                         699.07         5
Clientes atendidos:  25171011   25171011   89429489   81114108   
No hay clientes sin atender

....................................................................................................
JDC-028   Puntero Laser                                               30.48          16
Clientes atendidos:  31193794   50365593   87800799   
No hay clientes sin atender

....................................................................................................
JXD-139   Terma Evolucion Soltu                                       586.02         3
Clientes atendidos:  50375303   44229880   79464412   26976877   89298238   35565959   79140840   
No hay clientes sin atender

....................................................................................................
KQA-580   Cocina Empotrable Glassy Plus                               2907.92        13
Clientes atendidos:  50375303   63437380   96659352   48184351   
No hay clientes sin atender

....................................................................................................
XSD-310   Refrigeradora No frost                                      2259.93        10
Clientes atendidos:  12663268   22280452   45828535   87813843   52097922   31611146   71378466   
No hay clientes sin atender

....................................................................................................
YYU-726   Reproductor DVD Portatil                                    767.82         10
Clientes atendidos:  12663268   93160528   77642521   67418025   
No hay clientes sin atender

....................................................................................................
EVN-510   Cocina a gas FFG3011LB                                      2672.3         14
Clientes atendidos:  67418025   
No hay clientes sin atender

....................................................................................................
LZK-729   Cocina a gas Kristel                                        2850.91        3
No se atendieron Pedidos

No hay clientes sin atender

....................................................................................................
AQS-362   Teclado Inalambrico USB                                     233.05         0
Clientes atendidos:  55552996   42798099   41036366   16151792   73786035   16151792   15210391   
No hay clientes sin atender

....................................................................................................
AWT-354   Galaxy Gear                                                 3409.22        20
Clientes atendidos:  71463316   66409237   
No hay clientes sin atender

....................................................................................................
CJE-310   Mini componente GPX33                                       3643.39        14
Clientes atendidos:  79464412   98140264   
No hay clientes sin atender

....................................................................................................
KWP-672   Televisor UHD TV                                            1625.3         19
Clientes atendidos:  87800799   46462527   90365520   42157219   77191257   
No hay clientes sin atender

....................................................................................................
DOV-560   Impresora Laser Mutifuncion Monocromatica                   1203.14        1
Clientes atendidos:  76388967   57263719   
No hay clientes sin atender

....................................................................................................
RBE-789   Televisor SMART TV                                          3303.07        4
Clientes atendidos:  81114108   86402303   32904023   
No hay clientes sin atender

....................................................................................................
KCO-488   Ventilador de pared                                         679.6          0
Clientes atendidos:  46462527   71463316   
Clientes NO atendidos:  24995742   42157219   35584593   

....................................................................................................
